pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
0.00908126	0.00851668	0.00354678	0.0119151	0.00344183	0.00327809	0.00410416	0.00326512	0.00584262	0.00948842	0.00839346	0.00995285	0.00958466	0.0051991	0.00849486
0.00242953	0.00464546	0.00226866	0.00473447	0.00167175	0.000786741	0.00205208	0.0015451	0.00302106	0.00759073	0.00309233	0.00832897	0.00326919	0.00334791	0.00912658
0.00308999	0.00400026	0.00166155	0.00560246	0.00231095	0.00083919	0.00120294	0.0010495	0.00265055	0.00434886	0.00353409	0.00330016	0.00408648	0.00236323	0.00654986
0.00313716	0.00664559	0.00236452	0.00441884	0.00275347	0.00136368	0.00275969	0.00142849	0.00376208	0.00972563	0.00279782	0.00701938	0.00319489	0.00417504	0.0099744
0.00393914	0.00587135	0.00191718	0.00907441	0.003491	0.00110144	0.00304274	0.00134103	0.00376208	0.00838143	0.00537476	0.00770037	0.00586968	0.00378117	0.0107225
0.0017219	0.00322601	0.00134202	0.00307741	0.00216344	0.000524494	0.00155675	0.000816279	0.00245105	0.00482328	0.00228243	0.00471451	0.00178319	0.00228445	0.00535293
0.00139167	0.00141945	0.000798824	0.00252505	0.00113089	0.000524494	0.000778375	0.000466445	0.00111152	0.0023721	0.0019143	0.00240964	0.00252619	0.00137855	0.00292582
0.00198137	0.0047745	0.00150179	0.00410321	0.00147507	0.000603168	0.00162751	0.000641362	0.00208054	0.00506049	0.00154616	0.00303824	0.00156029	0.00279649	0.00571866
0.00254747	0.00309697	0.00131007	0.00583919	0.00113089	0.000734291	0.00148599	0.000670515	0.00253655	0.00434886	0.00338684	0.00492404	0.00364069	0.00228445	0.00553579
0.00752447	0.0105813	0.00293967	0.0133354	0.00314682	0.00317319	0.00382112	0.00224477	0.00595662	0.00861864	0.00559564	0.00942902	0.00847017	0.00563236	0.0101905
0.00233518	0.00335506	0.000798824	0.00386649	0.00201593	0.000550719	0.000990659	0.0010495	0.00228005	0.00308374	0.00456487	0.00298586	0.00401219	0.00236323	0.00410613
0.00188701	0.00438738	0.0016296	0.00355086	0.00167175	0.000681842	0.00198132	0.00110781	0.00265055	0.00553491	0.00294507	0.00481928	0.00245189	0.00208752	0.00472122
0.00646303	0.00683915	0.00249233	0.0101791	0.00368768	0.00236022	0.00353807	0.00262375	0.00515861	0.00743259	0.0087616	0.0088528	0.00735567	0.00484462	0.00989128
0.01453	0.0403897	0.0223351	0.0138878	0.0131773	0.00569076	0.0149307	0.0115445	0.0286431	0.0600142	0.0149463	0.0326873	0.0106992	0.0186695	0.0235562
0.00403349	0.00496806	0.00191718	0.00678608	0.00211427	0.00152103	0.00226436	0.00174917	0.00282156	0.00411165	0.00360772	0.00455736	0.00460658	0.00271771	0.00377365
0.00875103	0.0187754	0.010193	0.00946895	0.00747369	0.00291094	0.00658081	0.00521835	0.0115712	0.0301257	0.0090561	0.0136197	0.00668698	0.00921659	0.0128504
0.0120297	0.0192916	0.00968175	0.0148347	0.00752286	0.00375013	0.00813756	0.00577226	0.0106307	0.0228513	0.014799	0.018858	0.011145	0.0098074	0.0137979
0.00405708	0.0120008	0.0064545	0.00670717	0.00383519	0.00175705	0.00452873	0.00390648	0.0110582	0.0252234	0.00427036	0.0122053	0.00497808	0.00748356	0.00999102
0.0030664	0.00367766	0.00137398	0.00583919	0.00295014	0.00104899	0.00198132	0.000845432	0.00262205	0.00466514	0.00368134	0.00591933	0.00609258	0.00196936	0.00462147
0.0042222	0.00716175	0.00354678	0.00615482	0.00329433	0.00118011	0.00268893	0.00218646	0.00458859	0.0124931	0.00375497	0.00775275	0.00527528	0.00449013	0.0066496
0.00511853	0.00838764	0.00322725	0.00757516	0.00575278	0.00152103	0.00304274	0.0025946	0.00672614	0.0115442	0.00530113	0.0105815	0.00735567	0.00476584	0.0092097
0.00667532	0.0125815	0.00690184	0.00670717	0.00535943	0.00277982	0.00382112	0.00405224	0.00874968	0.0217443	0.00530113	0.0161341	0.00765287	0.00645949	0.0090767
0.00356174	0.00270985	0.00127812	0.00489229	0.00181925	0.00083919	0.00240589	0.0010495	0.00179554	0.00300467	0.00235606	0.00335254	0.00460658	0.00157549	0.00244373
0.00389197	0.00574231	0.00316334	0.00536574	0.00575278	0.00128501	0.00240589	0.00227392	0.00350557	0.00759073	0.00419673	0.00529073	0.00549818	0.00334791	0.00510357
0.00554311	0.007936	0.00357873	0.00844315	0.00344183	0.00175705	0.00353807	0.00268206	0.0049306	0.0100419	0.00633191	0.00921949	0.00780147	0.00409626	0.00651661
0.00681684	0.0165172	0.00933027	0.00733844	0.00634281	0.00259624	0.00523634	0.00483937	0.0125403	0.0241955	0.00787807	0.0173389	0.00750427	0.00854701	0.0115371
0.00419861	0.00625847	0.00166155	0.00773298	0.00196676	0.00110144	0.00205208	0.00134103	0.00313506	0.00411165	0.00419673	0.00586695	0.00616688	0.00236323	0.00354091
0.00419861	0.00806504	0.00440951	0.00410321	0.00565444	0.00146858	0.00205208	0.00218646	0.0046741	0.00885586	0.00404948	0.00686223	0.00482948	0.00291465	0.00453835
0.00724142	0.0101297	0.00476099	0.0105737	0.00442521	0.00228155	0.00424568	0.00393563	0.00598512	0.0117024	0.0087616	0.0129911	0.00884167	0.00645949	0.00842837
0.00219365	0.00232273	0.000830777	0.00339304	0.000835874	0.000524494	0.00120294	0.000845432	0.00165303	0.00213489	0.00279782	0.00314301	0.00230329	0.000984678	0.00244373
0.00106145	0.00109684	0.000575153	0.00189379	0.000344183	0.000498269	0.000566091	0.000553904	0.000684014	0.000553491	0.00132528	0.00141435	0.00163459	0.000472646	0.000947568
0.00129732	0.00258081	0.000734918	0.0039454	0.00122923	0.000367146	0.000849137	0.000641362	0.00133953	0.00142326	0.00353409	0.00130959	0.00282339	0.000787743	0.00244373
0.00372685	0.0047745	0.00124617	0.00331413	0.00221261	0.00120634	0.00113218	0.00113696	0.00199504	0.00347909	0.00441761	0.00350969	0.00393789	0.00169365	0.00272634
0.00120297	0.00225821	0.000639059	0.00291959	0.000786705	0.000419595	0.000283046	0.00072882	0.00136803	0.000553491	0.00228243	0.00235726	0.00170889	0.000984678	0.00204475
0.00132091	0.00116137	0.000383436	0.00189379	0.000983381	0.000314696	0.000566091	0.000466445	0.000883518	0.000632561	0.00228243	0.00141435	0.00222899	0.000866517	0.00141304
0.00167473	0.00303245	0.000702965	0.0039454	0.00132756	0.000419595	0.00127371	0.00122442	0.00142503	0.00245117	0.00228243	0.00246202	0.00289769	0.000866517	0.00360741
0.00429296	0.00451642	0.00086273	0.00520792	0.00467106	0.000970314	0.000849137	0.00116611	0.00319207	0.00181861	0.0030187	0.00235726	0.0112936	0.00169365	0.00565216
0.000849157	0.00116137	0.000351483	0.00181488	0.000786705	0.000340921	0.00049533	0.000291528	0.000598512	0.000711631	0.00139891	0.00136197	0.0013374	0.000708968	0.00142966
0.000589692	0.00116137	0.000191718	0.00126253	0.000393352	0.000340921	0.000566091	0.000145764	0.000456009	0.000395351	0.0011044	0.000680985	0.00141169	0.000433258	0.000714832
0.00183984	0.00232273	0.000734918	0.00433994	0.00108172	0.000524494	0.000707614	0.000612209	0.00116852	0.00181861	0.00198793	0.00204295	0.00200609	0.000945291	0.00265984
0.00238236	0.00232273	0.000607106	0.00307741	0.00186842	0.000708067	0.000636853	0.00093289	0.00145353	0.000869771	0.00169342	0.00110005	0.00505238	0.00102407	0.00259334
0.00247671	0.00322601	0.00102249	0.00433994	0.00137673	0.000629393	0.000919898	0.000903737	0.00145353	0.00245117	0.00235606	0.00345731	0.00304629	0.00204813	0.00347442
0.0015332	0.00206465	0.00031953	0.00268287	0.000835874	0.000498269	0.00049533	0.000524751	0.00099752	0.000553491	0.00265057	0.00178104	0.00222899	0.000905904	0.00141304
0.00238236	0.00270985	0.00102249	0.0040243	0.00137673	0.000734291	0.00148599	0.000816279	0.00205204	0.00189768	0.00419673	0.00440021	0.00334349	0.00133916	0.00279283
0.0066989	0.00683915	0.00230061	0.00946895	0.00457272	0.0024389	0.00261817	0.00172002	0.00430359	0.0029256	0.00765719	0.00471451	0.0115165	0.00405688	0.00638362
