Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO50442	417	487	443	418	325	377.49	372.91	395.94	423.49	546.97	1.10466502423905	1.30594513421469	1.11885639238268	0.987036293655104	0.594182496297786
DO50443	190	217	195	185	145	180.19	179.35	184.9	195.45	224.64	1.05444253288196	1.20992472818511	1.05462412114657	0.946533640317217	0.645477207977208
DO50444	440	479	428	390	342	374.3	366.75	387.63	412.54	524.04	1.17552765161635	1.30606680299932	1.10414570595671	0.945362873903137	0.652621937256698
DO50445	304	285	308	289	224	266.84	265.16	275.86	293.5	363.71	1.13925948133713	1.07482274852919	1.1165083738128	0.984667802385009	0.615875285254736
DO50446	342	414	340	321	297	309.31	302.84	321.53	342.52	439.56	1.10568685137888	1.367058512746	1.05744409541878	0.937171552026159	0.675675675675676
DO50447	416	400	367	363	316	318.16	316	332.92	357.37	450.9	1.30751822982147	1.26582278481013	1.1023669349994	1.01575398046842	0.700820581060102
DO50448	274	319	305	281	263	256.13	254.24	266.36	285.83	357.33	1.06976925779877	1.25471994965387	1.14506682685088	0.98310184375328	0.73601432849187
DO50449	297	321	336	307	291	276.88	275.41	293.29	310.55	378.87	1.07266685928922	1.16553502051487	1.14562378533192	0.988568668491386	0.768073481669174
DO50450	424	450	474	407	365	397.68	398.99	416.89	439.91	518.58	1.06618386642527	1.12784781573473	1.13699057305284	0.925189243254302	0.703845115507733
DO50451	356	335	316	311	239	286.99	288.41	302.75	322.3	405.63	1.24046134011638	1.16154086196734	1.04376548307184	0.964939497362706	0.589206912703696
DO50452	690	715	650	595	452	559.16	556.39	583.12	609.11	706.73	1.23399384791473	1.28506982512267	1.11469337357662	0.976835054423667	0.639565321975861
DO50453	404	413	377	337	298	328.17	325.65	343.75	364.11	441.98	1.23106926288204	1.26823276523875	1.09672727272727	0.925544478316992	0.67423865333273
DO50454	886	937	887	894	778	810.74	800.97	834.77	889.71	1080.34	1.0928287737129	1.16983157921021	1.0625681325395	1.00482179586607	0.720143658477887
