Sample	Bin_1_obs	Bin_2_obs	Bin_3_obs	Bin_4_obs	Bin_5_obs	Bin_1_sim	Bin_2_sim	Bin_3_sim	Bin_4_sim	Bin_5_sim	Bin_1_obs_exp_ratio	Bin_2_obs_exp_ratio	Bin_3_obs_exp_ratio	Bin_4_obs_exp_ratio	Bin_5_obs_exp_ratio
DO50349	207	232	221	242	256	158.95	184.53	213.53	254.68	327.92	1.30229631959736	1.25724814393324	1.03498337470145	0.950212030783729	0.780678214198585
DO50350	163	149	138	186	178	119.28	137.54	160.85	185.74	232.59	1.36653252850436	1.08332121564636	0.857942182157289	1.00139980618068	0.765295154563825
DO50354	170	180	149	202	197	135.77	152.75	173.8	198	239.31	1.25211755174192	1.17839607201309	0.857307249712313	1.02020202020202	0.823200033429443
DO50355	329	397	352	319	316	268.68	300.67	343.04	389.84	468.13	1.22450498734554	1.32038447467323	1.02611940298507	0.818284424379233	0.675026167944802
DO50356	1	1	2	1	3	1.44	1.46	1.97	2.56	3.26	0.694444444444444	0.684931506849315	1.01522842639594	0.390625	0.920245398773006
DO50357	296	298	270	306	271	218.01	243.64	283.71	328.58	413.97	1.35773588367506	1.22311607289443	0.951676007190441	0.93128005356382	0.654636809430635
DO50362	310	387	406	409	483	257.94	308.13	375.37	458.77	616.89	1.20182988291851	1.25596339207477	1.08159948850468	0.891514266408004	0.782959684870885
DO50364	251	273	288	294	378	196.76	226.96	264.03	314.58	402.74	1.27566578572881	1.20285512865703	1.09078513805249	0.934579439252336	0.938570790087898
DO50365	373	363	415	451	498	308.08	351.79	412.28	484.88	619.5	1.2107244871462	1.03186560163734	1.00659745803823	0.930127041742287	0.803874092009685
DO50367	157	179	184	173	197	129.23	149.85	172.59	203.51	260.21	1.21488818385824	1.19452786119453	1.06611043513529	0.850081077096949	0.757080819338227
DO50370	101	117	128	168	166	90.9	106.22	125.92	151.43	198.16	1.11111111111111	1.10148747881755	1.01651842439644	1.10942349600475	0.837706903512313
DO50372	272	334	363	447	436	274.32	311.56	358.15	415.05	512.85	0.991542723826188	1.07202465014764	1.01354181208991	1.0769786772678	0.850151116310812
DO50374	371	419	428	498	600	327.06	370.6	429.32	504.08	641.55	1.13434843759555	1.13059902860227	0.996925370353117	0.987938422472623	0.935234977788169
DO50381	224	292	259	303	321	183.06	214.95	252.07	304.46	397.45	1.22364252157762	1.35845545475692	1.02749236323244	0.995204624581226	0.807648760850421
DO50382	320	331	333	440	506	255.04	296.8	353.22	428.47	560.43	1.25470514429109	1.11522911051213	0.942755223373535	1.0269097019628	0.90287814713702
DO50383	230	247	223	266	298	178.77	205.1	238.37	281.16	365.99	1.28656933489959	1.20429058995612	0.935520409447498	0.946080523545312	0.814229896991721
DO50384	676	677	661	757	848	532.43	599.49	695.05	809.41	1031.23	1.26965047048438	1.12929323258103	0.951010718653334	0.935249132083864	0.822318978307458
DO50385	364	387	426	439	543	295.72	345.29	413.84	500.43	658.68	1.23089408900311	1.12079701120797	1.02938333655519	0.877245568810823	0.824376024776826
DO50387	675	769	760	797	857	626.62	691.83	762.54	855.24	1010.74	1.07720787718234	1.1115447436509	0.996669027198573	0.93190215611992	0.84789362249441
DO50388	517	501	472	530	630	393.47	442.05	499.99	570.48	694.61	1.3139502376293	1.13335595520869	0.944018880377608	0.929042210068714	0.906983775068024
DO50389	432	452	430	442	503	323.82	371.66	425.69	500.48	624.64	1.33407448582546	1.21616531238228	1.01012473865959	0.883152173913043	0.805263831967213
DO50390	183	203	174	205	216	135.11	156.46	183.33	214.81	278.7	1.35445192805862	1.29745621884188	0.949108165603011	0.954331735021647	0.77502691065662
DO50392	171	197	196	219	230	148.46	164.02	187.77	215.69	267.05	1.15182540751718	1.20107303987319	1.04383021781967	1.01534609856739	0.861261935967047
DO50393	357	335	323	382	372	261.15	294.58	337.35	386.84	469.16	1.36703044227455	1.13721230226085	0.957462575959686	0.987488367283632	0.79290647113991
DO50395	78	59	55	70	58	45.71	52.65	61.96	72.2	95.43	1.70640997593524	1.12060778727445	0.887669464170433	0.969529085872576	0.6077753327046
DO50396	253	220	230	242	256	170.44	191.26	222.04	260.21	330.64	1.48439333489791	1.15026665272404	1.03584939650513	0.930018062334269	0.77425598838616
DO50398	352	374	369	459	501	283.83	327.97	393.16	473.22	618.45	1.24017898037558	1.1403482025795	0.93854919116899	0.96995055154051	0.810089740480233
DO50399	275	283	286	350	315	191	228.5	277.87	345.14	469.37	1.43979057591623	1.23851203501094	1.02925828624897	1.01408124239439	0.671112342075548
DO50401	422	436	444	526	570	307.68	361.34	435.36	532.18	707.19	1.37155486219449	1.20661980406266	1.01984564498346	0.988387387725957	0.806006872269121
